"TAXA","SPECIES","Common_name","spp_code_raster"
"BIRD","Acanthiza katherina","Mountain Thornbill","MTHORN"
"BIRD","Acanthorhynchus tenuirostris","Eastern Spinebill","ESB"
"BIRD","Accipiter novaehollandiae","Grey Goshawk","GGH"
"BIRD","Ailuroedus melanotis","Spotted Catbird","CAT"
"BIRD","Alcedo azurea","Azure Kingfisher","AZK"
"BIRD","Alcedo pusilla","Little Kingfisher","LK"
"BIRD","Alectura lathami","Australian Brush Turkey","ABT"
"BIRD","Alisterus scapularis","Australian King Parrot","KP"
"BIRD","Aplonis metallica","Metallic Starling","MSTAR"
"BIRD","Arses kaupi","Pied Monarch","PMON"
"BIRD","Artamus leucorynchus","White-breasted Woodswallow","WBWS"
"BIRD","Cacatua galerita","Sulphur-crested Cockatoo","SCC"
"BIRD","Cacomantis castaneiventris","Chestnut-breasted Cuckoo","CBCUC"
"BIRD","Cacomantis flabelliformis","Fan-tailed Cuckoo","FTCUC"
"BIRD","Cacomantis variolosus","Brush Cuckoo","BCUC"
"BIRD","Casuarius casuarius","Southern Cassowary","CASS"
"BIRD","Chalcophaps indica","Emerald Dove","ED"
"BIRD","Chrysococcyx lucidus","Shining Bronze-Cuckoo (Golden)","SBCUC"
"BIRD","Chrysococcyx minutillus","Little Bronze-Cuckoo","LBCUC"
"BIRD","Chrysococcyx russatus","Gould's Bronze-Cuckoo","GBCUC"
"BIRD","Collocalia spodiopygius","White-rumped Swiftlet","WRSW"
"BIRD","Colluricincla boweri","Bowers Shrike-Thrush","BST"
"BIRD","Colluricincla megarhyncha","Little Shrike-Thrush","LST"
"BIRD","Columba leucomela","White-headed Pigeon","WHPIG"
"BIRD","Coracina lineata","Barred Cuckoo-Shrike","BCS"
"BIRD","Cormobates leucophaeus","White-throated Treecreeper","WTTC"
"BIRD","Cracticus quoyi","Black Butcherbird","BBUT"
"BIRD","Cuculus saturatus","Oriental Cuckoo","OCUC"
"BIRD","Cyclopsitta diophthalma","Double-eyed Fig-Parrot","DEFP"
"BIRD","Dicaeum hirundinaceum","Mistletoebird","MTB"
"BIRD","Dicrurus bracteatus","Spangled Drongo","SD"
"BIRD","Ducula bicolor","Pied Imperial Pigeon","PIPIG"
"BIRD","Erythrura trichroa","Blue-faced Parrot-Finch","BFPF"
"BIRD","Eudynamys scolopacea","Common Koel","KOEL"
"BIRD","Gerygone magnirostris","Large-billed Gerygone","LBGER"
"BIRD","Gerygone mouki","Brown Gerygone","BGER"
"BIRD","Gerygone palpebrosa","Fairy Gerygone","FGER"
"BIRD","Heteromyias albispecularis","Grey-headed Robin","GHR"
"BIRD","Hirundapus caudacutus","White-throated Needletail","WTNT"
"BIRD","Lalage leucomela","Varied Triller","VT"
"BIRD","Lichenostomus frenatus","Bridled Honeyeater","BHE"
"BIRD","Lopholaimus antarcticus","Topknot Pigeon","TPIG"
"BIRD","Machaerirhynchus flaviventer","Yellow-breasted Boatbill","YBBB"
"BIRD","Macropygia amboinensis","Brown Cuckoo-Dove","BPIG"
"BIRD","Megapodius reinwardt","Orange-footed Scrubfowl","OFSF"
"BIRD","Meliphaga gracilis","Graceful Honeyeater","GHE"
"BIRD","Meliphaga lewinii","Lewin's Honeyeater","LEWHE"
"BIRD","Meliphaga notata","Yellow-spotted Honeyeater","YSHE"
"BIRD","Merops ornatus","Rainbow Bee-eater","RBBE"
"BIRD","Monarcha leucotis","White-eared Monarch","WEMON"
"BIRD","Monarcha melanopsis","Black-faced Monarch","BFMON"
"BIRD","Monarcha trivirgatus","Spectacled Monarch","SMON"
"BIRD","Myzomela obscura","Dusky Honeyeater","DUHE"
"BIRD","Myzomela sanguinolenta","Scarlet Honeyeater","SCARHE"
"BIRD","Ninox novaeseelandiae","Southern Boobook","BOO"
"BIRD","Ninox rufa","Rufous Owl","ROWL"
"BIRD","Oreoscopus gutturalis","Fernwren","FW"
"BIRD","Oriolus flavocinctus","Yellow Oriole","YO"
"BIRD","Oriolus sagittatus","Olive-backed Oriole","OBO"
"BIRD","Orthonyx spaldingii","Chowchilla","CC"
"BIRD","Pachycephala pectoralis","Golden Whistler","GOLDW"
"BIRD","Pachycephala simplex","Grey Whistler","GREYW"
"BIRD","Philemon buceroides","Helmeted Friarbird","HFB"
"BIRD","Pitta versicolor","Noisy Pitta","NPIT"
"BIRD","Platycercus elegans","Crimson Rosella","CROS"
"BIRD","Podargus papuensis","Papuan Frogmouth","PFROG"
"BIRD","Poecilodryas superciliosa","White-browed Robin","WBR"
"BIRD","Prionodura newtoniana","Golden Bowerbird","GOLDBB"
"BIRD","Psophodes olivaceus","Eastern Whipbird","EWB"
"BIRD","Ptilinopus magnificus","Wompoo Fruit-Dove","WOMP"
"BIRD","Ptilinopus regina","Rose-crowned Fruit-Dove","RCFD"
"BIRD","Ptilinopus superbus","Superb Fruit-Dove","SFD"
"BIRD","Ptilonorhynchus violaceus","Satin Bowerbird","SATBB"
"BIRD","Ptiloris victoriae","Victoria's Riflebird","VRIF"
"BIRD","Rallina tricolor","Red-necked Crake","RNCR"
"BIRD","Rhipidura fuliginosa","Grey Fantail","GFAN"
"BIRD","Rhipidura rufifrons","Rufous Fantail","RFAN"
"BIRD","Scenopoeetes dentirostris","Tooth-billed Bowerbird","TBBB"
"BIRD","Scythrops novaehollandiae","Channel-billed Cuckoo","CBILCUC"
"BIRD","Sericornis citreogularis","Yellow-throated Scrubwren","YTSW"
"BIRD","Sericornis frontalis","White-browed Scrubwren","WBSW"
"BIRD","Sericornis keri","Atherton Scrubwren","ASW"
"BIRD","Sericornis magnirostris","Large-billed Scrubwren","LBSW"
"BIRD","Sphecotheres viridis","Figbird","FIG"
"BIRD","Strepera graculina","Pied Currawong","CURR"
"BIRD","Tanysiptera sylvia","Buff-breasted Paradise-Kingfisher","BBPK"
"BIRD","Tregellasia capito","Pale-yellow Robin","PYR"
"BIRD","Trichoglossus chlorolepidotus","Scaly-breasted Lorikeet","SBL"
"BIRD","Trichoglossus haematodus","Rainbow Lorikeet","RL"
"BIRD","Tyto multipunctata","Lesser Sooty Owl","LSOWL"
"BIRD","Xanthotis macleayana","Macleay's Honeyeater","MACHE"
"BIRD","Zoothera lunulata","Bassian Thrush","BASTH"
"BIRD","Zosterops lateralis","Silvereye","SE"
"FROG","Austrochaperina fryi","Cricket Chirper","AUSFRYI"
"FROG","Austrochaperina pluvialis","White-browed Chirper","AUSPLUV"
"FROG","Austrochaperina robusta","Pealing Chirper","AUSROBU"
"FROG","Cophixalus aenigma","Tapping Nursery-Frog","COPAENI"
"FROG","Cophixalus bombiens","Windsor Nursery-Frog","COPBOMB"
"FROG","Cophixalus concinnus","Beautiful Nursery-Frog","COPCONC"
"FROG","Cophixalus exiguus","Bloomfield Nursery-Frog","COPEXIG"
"FROG","Cophixalus hosmeri","Pipping Nursery-Frog","COPHOSM"
"FROG","Cophixalus infacetus","Buzzing Nursery-Frog","COPINFA"
"FROG","Cophixalus mcdonaldi","Southern Nursery-Frog","COPMCDO"
"FROG","Cophixalus monticola","Mountain Top Nursery-Frog","COPMONT"
"FROG","Cophixalus neglectus","Tangerine Nursery-Frog","COPNEGL"
"FROG","Cophixalus ornatus","Common Nursery-Frog","COPORNA"
"FROG","Limnodynastes peronii","Striped Marshfrog","LIMPERO"
"FROG","Litoria fallax","Eastern Sedgefrog","LITFALL"
"FROG","Litoria genimaculata","Green-eyed Treefrog","LITGENI"
"FROG","Litoria infrafrenata","White-lipped Treefrog","LITINFR"
"FROG","Litoria jungguy",".","LITJUNG"
"FROG","Litoria lorica","Armoured Mistfrog","LITLORI"
"FROG","Litoria nannotis","Waterfall Frog","LITNANN"
"FROG","Litoria nyakalensis","Mountain Mistfrog","LITNYAK"
"FROG","Litoria revelata","Whirring Treefrog","LITREVE"
"FROG","Litoria rheocola","Common Mistfrog","LITRHEO"
"FROG","Litoria xanthomera","Northern Orange-eyed Treefrog","LITXANT"
